 X 	   Y	 analytical
1 	15.694	   17
1.1 	14.6607	   15.7555
1.2 	13.8413	   14.7733
1.3 	13.1942	   13.9977
1.4 	12.6889	   13.3886
1.5 	12.3026	   12.9167
1.6 	12.0181	   12.56
1.7 	11.8219	   12.3018
1.8 	11.7035	   12.1289
1.9 	11.6544	   12.0311
2 	11.6679	   12
2.1 	11.7384	   12.029
2.2 	11.8613	   12.1127
2.3 	12.0327	   12.2465
2.4 	12.2494	   12.4267
2.5 	12.5088	   12.65
2.6 	12.8083	   12.9138
2.7 	13.1461	   13.2159
2.8 	13.5201	   13.5543
2.9 	13.929	   13.9272
3 	14.3713	   14.3333
1 	15.6913	   17
1.1 	14.6556	   15.7555
1.2 	13.8343	   14.7733
1.3 	13.1854	   13.9977
1.4 	12.6786	   13.3886
1.5 	12.291	   12.9167
1.6 	12.0053	   12.56
1.7 	11.808	   12.3018
1.8 	11.6886	   12.1289
1.9 	11.6387	   12.0311
2 	11.6515	   12
2.1 	11.7214	   12.029
2.2 	11.8437	   12.1127
2.3 	12.0147	   12.2465
2.4 	12.2312	   12.4267
2.5 	12.4903	   12.65
2.6 	12.7897	   12.9138
2.7 	13.1274	   13.2159
2.8 	13.5015	   13.5543
2.9 	13.9105	   13.9272
3 	14.353	   14.3333
1 	15.6898	   17
1.1 	14.653	   15.7555
1.2 	13.8306	   14.7733
1.3 	13.1809	   13.9977
1.4 	12.6732	   13.3886
1.5 	12.2849	   12.9167
1.6 	11.9986	   12.56
1.7 	11.8008	   12.3018
1.8 	11.681	   12.1289
1.9 	11.6306	   12.0311
2 	11.643	   12
2.1 	11.7125	   12.029
2.2 	11.8346	   12.1127
2.3 	12.0054	   12.2465
2.4 	12.2217	   12.4267
2.5 	12.4807	   12.65
2.6 	12.7801	   12.9138
2.7 	13.1177	   13.2159
2.8 	13.4919	   13.5543
2.9 	13.9009	   13.9272
3 	14.3435	   14.3333
1 	15.6891	   17
1.1 	14.6516	   15.7555
1.2 	13.8287	   14.7733
1.3 	13.1785	   13.9977
1.4 	12.6705	   13.3886
1.5 	12.2818	   12.9167
1.6 	11.9952	   12.56
1.7 	11.7971	   12.3018
1.8 	11.677	   12.1289
1.9 	11.6264	   12.0311
2 	11.6386	   12
2.1 	11.708	   12.029
2.2 	11.8299	   12.1127
2.3 	12.0006	   12.2465
2.4 	12.2168	   12.4267
2.5 	12.4758	   12.65
2.6 	12.7751	   12.9138
2.7 	13.1127	   13.2159
2.8 	13.4869	   13.5543
2.9 	13.896	   13.9272
3 	14.3386	   14.3333
1 	15.6887	   17
1.1 	14.6509	   15.7555
1.2 	13.8277	   14.7733
1.3 	13.1773	   13.9977
1.4 	12.6691	   13.3886
1.5 	12.2802	   12.9167
1.6 	11.9934	   12.56
1.7 	11.7951	   12.3018
1.8 	11.6749	   12.1289
1.9 	11.6242	   12.0311
2 	11.6363	   12
2.1 	11.7056	   12.029
2.2 	11.8275	   12.1127
2.3 	11.9981	   12.2465
2.4 	12.2143	   12.4267
2.5 	12.4732	   12.65
2.6 	12.7725	   12.9138
2.7 	13.1102	   13.2159
2.8 	13.4843	   13.5543
2.9 	13.8934	   13.9272
3 	14.336	   14.3333
1 	15.6885	   17
1.1 	14.6506	   15.7555
1.2 	13.8272	   14.7733
1.3 	13.1767	   13.9977
