t0  	x0
0 	0.00054068	
0.001 	0.0010819	
0.002 	0.00216388	
0.003 	0.00324595	
0.004 	0.00432809	
0.005 	0.00541032	
0.006 	0.00649263	
0.007 	0.00757501	
0.008 	0.00865748	
0.009 	0.00974003	
0.01 	0.0108226	
0.011 	0.0119054	
0.012 	0.0129881	
0.013 	0.014071	
0.014 	0.0151539	
0.015 	0.0162369	
0.016 	0.01732	
0.017 	0.0184032	
0.018 	0.0194864	
0.019 	0.0205697	
0.02 	0.0216531	
0.021 	0.0227366	
0.022 	0.0238201	
0.023 	0.0249037	
0.024 	0.0259874	
0.025 	0.0270711	
0.026 	0.028155	
0.027 	0.0292389	
0.028 	0.0303228	
0.029 	0.0314068	
0.03 	0.032491	
0.031 	0.0335751	
0.032 	0.0346594	
0.033 	0.0357437	
0.034 	0.0368281	
0.035 	0.0379125	
0.036 	0.038997	
0.037 	0.0400816	
0.038 	0.0411662	
0.039 	0.042251	
0.04 	0.0433357	
0.041 	0.0444206	
0.042 	0.0455055	
0.043 	0.0465905	
0.044 	0.0476755	
0.045 	0.0487606	
0.046 	0.0498458	
0.047 	0.050931	
0.048 	0.0520163	
0.049 	0.0531016	
0.05 	0.054187	
0.051 	0.0552725	
0.052 	0.056358	
0.053 	0.0574436	
0.054 	0.0585292	
0.055 	0.0596149	
0.056 	0.0607007	
0.057 	0.0617865	
0.058 	0.0628724	
0.059 	0.0639583	
0.06 	0.0650443	
0.061 	0.0661304	
0.062 	0.0672165	
0.063 	0.0683026	
0.064 	0.0693888	
0.065 	0.0704751	
0.066 	0.0715614	
0.067 	0.0726478	
0.068 	0.0737342	
0.069 	0.0748207	
0.07 	0.0759072	
0.071 	0.0769938	
0.072 	0.0780804	
0.073 	0.0791671	
0.074 	0.0802538	
0.075 	0.0813406	
0.076 	0.0824274	
0.077 	0.0835142	
0.078 	0.0846012	
0.079 	0.0856881	
0.08 	0.0867751	
0.081 	0.0878622	
0.082 	0.0889493	
0.083 	0.0900364	
0.084 	0.0911236	
0.085 	0.0922109	
0.086 	0.0932981	
0.087 	0.0943855	
0.088 	0.0954728	
0.089 	0.0965602	
0.09 	0.0976477	
0.091 	0.0987352	
0.092 	0.0998227	
0.093 	0.10091	
0.094 	0.101998	
0.095 	0.103086	
0.096 	0.104173	
0.097 	0.105261	
0.098 	0.106349	
0.099 	0.107436	
0.1 	0.108524	
0.101 	0.109612	
0.102 	0.1107	
0.103 	0.111788	
0.104 	0.112876	
0.105 	0.113964	
0.106 	0.115052	
0.107 	0.11614	
0.108 	0.117228	
0.109 	0.118316	
0.11 	0.119405	
0.111 	0.120493	
0.112 	0.121581	
0.113 	0.122669	
0.114 	0.123757	
0.115 	0.124846	
0.116 	0.125934	
0.117 	0.127022	
0.118 	0.128111	
0.119 	0.129199	
0.12 	0.130288	
0.121 	0.131376	
0.122 	0.132465	
0.123 	0.133553	
0.124 	0.134642	
0.125 	0.13573	
0.126 	0.136819	
0.127 	0.137908	
0.128 	0.138996	
0.129 	0.140085	
0.13 	0.141174	
0.131 	0.142262	
0.132 	0.143351	
0.133 	0.14444	
0.134 	0.145528	
0.135 	0.146617	
0.136 	0.147706	
0.137 	0.148795	
0.138 	0.149884	
0.139 	0.150972	
0.14 	0.152061	
0.141 	0.15315	
0.142 	0.154239	
0.143 	0.155328	
0.144 	0.156417	
0.145 	0.157506	
0.146 	0.158595	
0.147 	0.159684	
0.148 	0.160773	
0.149 	0.161862	
0.15 	0.162951	
0.151 	0.164039	
0.152 	0.165128	
0.153 	0.166217	
0.154 	0.167306	
0.155 	0.168395	
0.156 	0.169484	
0.157 	0.170573	
0.158 	0.171662	
0.159 	0.172752	
0.16 	0.173841	
0.161 	0.17493	
0.162 	0.176019	
0.163 	0.177108	
0.164 	0.178197	
0.165 	0.179286	
0.166 	0.180375	
0.167 	0.181464	
0.168 	0.182553	
0.169 	0.183642	
0.17 	0.184731	
0.171 	0.18582	
0.172 	0.186909	
0.173 	0.187998	
0.174 	0.189087	
0.175 	0.190176	
0.176 	0.191265	
0.177 	0.192354	
0.178 	0.193443	
0.179 	0.194532	
0.18 	0.195621	
0.181 	0.19671	
0.182 	0.197799	
0.183 	0.198888	
0.184 	0.199977	
0.185 	0.201066	
0.186 	0.202155	
0.187 	0.203243	
0.188 	0.204332	
0.189 	0.205421	
0.19 	0.20651	
0.191 	0.207599	
0.192 	0.208688	
0.193 	0.209776	
0.194 	0.210865	
0.195 	0.211954	
0.196 	0.213043	
0.197 	0.214132	
0.198 	0.21522	
0.199 	0.216309	
0.2 	0.217398	
0.201 	0.218486	
0.202 	0.219575	
0.203 	0.220663	
0.204 	0.221752	
0.205 	0.222841	
0.206 	0.223929	
0.207 	0.225018	
0.208 	0.226106	
0.209 	0.227195	
0.21 	0.228283	
0.211 	0.229371	
0.212 	0.23046	
0.213 	0.231548	
0.214 	0.232636	
0.215 	0.233725	
0.216 	0.234813	
0.217 	0.235901	
0.218 	0.236989	
0.219 	0.238078	
0.22 	0.239166	
0.221 	0.240254	
0.222 	0.241342	
0.223 	0.24243	
0.224 	0.243518	
0.225 	0.244606	
0.226 	0.245694	
0.227 	0.246782	
0.228 	0.247869	
0.229 	0.248957	
0.23 	0.250045	
0.231 	0.251133	
0.232 	0.25222	
0.233 	0.253308	
0.234 	0.254395	
0.235 	0.255483	
0.236 	0.25657	
0.237 	0.257658	
0.238 	0.258745	
0.239 	0.259833	
0.24 	0.26092	
0.241 	0.262007	
0.242 	0.263094	
0.243 	0.264182	
0.244 	0.265269	
0.245 	0.266356	
0.246 	0.267443	
0.247 	0.26853	
0.248 	0.269617	
0.249 	0.270704	
0.25 	0.27179	
0.251 	0.272877	
0.252 	0.273964	
0.253 	0.27505	
0.254 	0.276137	
0.255 	0.277223	
0.256 	0.27831	
0.257 	0.279396	
0.258 	0.280483	
0.259 	0.281569	
0.26 	0.282655	
0.261 	0.283741	
0.262 	0.284827	
0.263 	0.285913	
0.264 	0.286999	
0.265 	0.288085	
0.266 	0.289171	
