t0  	x0
0.267 	0.290257	
0.268 	0.291343	
0.269 	0.292428	
0.27 	0.293514	
0.271 	0.294599	
0.272 	0.295685	
0.273 	0.29677	
0.274 	0.297855	
0.275 	0.298941	
0.276 	0.300026	
0.277 	0.301111	
0.278 	0.302196	
0.279 	0.303281	
0.28 	0.304366	
0.281 	0.30545	
0.282 	0.306535	
0.283 	0.30762	
0.284 	0.308704	
0.285 	0.309789	
0.286 	0.310873	
0.287 	0.311957	
0.288 	0.313042	
0.289 	0.314126	
0.29 	0.31521	
0.291 	0.316294	
0.292 	0.317378	
0.293 	0.318462	
0.294 	0.319545	
0.295 	0.320629	
0.296 	0.321712	
0.297 	0.322796	
0.298 	0.323879	
0.299 	0.324963	
0.3 	0.326046	
0.301 	0.327129	
0.302 	0.328212	
0.303 	0.329295	
0.304 	0.330378	
0.305 	0.33146	
0.306 	0.332543	
0.307 	0.333625	
0.308 	0.334708	
0.309 	0.33579	
0.31 	0.336872	
0.311 	0.337955	
0.312 	0.339037	
0.313 	0.340119	
0.314 	0.3412	
0.315 	0.342282	
0.316 	0.343364	
0.317 	0.344445	
0.318 	0.345527	
0.319 	0.346608	
0.32 	0.347689	
0.321 	0.34877	
0.322 	0.349851	
0.323 	0.350932	
0.324 	0.352013	
0.325 	0.353094	
0.326 	0.354174	
0.327 	0.355255	
0.328 	0.356335	
0.329 	0.357415	
0.33 	0.358495	
0.331 	0.359575	
0.332 	0.360655	
0.333 	0.361735	
0.334 	0.362815	
0.335 	0.363894	
0.336 	0.364974	
0.337 	0.366053	
0.338 	0.367132	
0.339 	0.368211	
0.34 	0.36929	
0.341 	0.370369	
0.342 	0.371447	
0.343 	0.372526	
0.344 	0.373604	
0.345 	0.374683	
0.346 	0.375761	
0.347 	0.376839	
0.348 	0.377917	
0.349 	0.378995	
0.35 	0.380072	
0.351 	0.38115	
0.352 	0.382227	
0.353 	0.383304	
0.354 	0.384382	
0.355 	0.385459	
0.356 	0.386535	
0.357 	0.387612	
0.358 	0.388689	
0.359 	0.389765	
0.36 	0.390841	
0.361 	0.391918	
0.362 	0.392994	
0.363 	0.39407	
0.364 	0.395145	
0.365 	0.396221	
0.366 	0.397296	
0.367 	0.398372	
0.368 	0.399447	
0.369 	0.400522	
0.37 	0.401597	
0.371 	0.402671	
0.372 	0.403746	
0.373 	0.40482	
0.374 	0.405895	
0.375 	0.406969	
0.376 	0.408043	
0.377 	0.409117	
0.378 	0.41019	
0.379 	0.411264	
0.38 	0.412337	
0.381 	0.41341	
0.382 	0.414483	
0.383 	0.415556	
0.384 	0.416629	
0.385 	0.417701	
0.386 	0.418774	
0.387 	0.419846	
0.388 	0.420918	
0.389 	0.42199	
0.39 	0.423062	
0.391 	0.424133	
0.392 	0.425205	
0.393 	0.426276	
0.394 	0.427347	
0.395 	0.428418	
0.396 	0.429489	
0.397 	0.430559	
0.398 	0.43163	
0.399 	0.4327	
0.4 	0.43377	
0.401 	0.43484	
0.402 	0.435909	
0.403 	0.436979	
0.404 	0.438048	
0.405 	0.439117	
0.406 	0.440186	
0.407 	0.441255	
0.408 	0.442324	
0.409 	0.443392	
0.41 	0.44446	
0.411 	0.445528	
0.412 	0.446596	
0.413 	0.447664	
0.414 	0.448731	
0.415 	0.449799	
0.416 	0.450866	
0.417 	0.451933	
0.418 	0.452999	
0.419 	0.454066	
0.42 	0.455132	
0.421 	0.456198	
0.422 	0.457264	
0.423 	0.45833	
0.424 	0.459396	
0.425 	0.460461	
0.426 	0.461526	
0.427 	0.462591	
0.428 	0.463656	
0.429 	0.46472	
0.43 	0.465785	
0.431 	0.466849	
0.432 	0.467913	
0.433 	0.468977	
0.434 	0.47004	
0.435 	0.471104	
0.436 	0.472167	
0.437 	0.47323	
0.438 	0.474292	
0.439 	0.475355	
0.44 	0.476417	
0.441 	0.477479	
0.442 	0.478541	
0.443 	0.479603	
0.444 	0.480664	
0.445 	0.481725	
0.446 	0.482786	
0.447 	0.483847	
0.448 	0.484908	
0.449 	0.485968	
0.45 	0.487028	
0.451 	0.488088	
0.452 	0.489147	
0.453 	0.490207	
0.454 	0.491266	
0.455 	0.492325	
0.456 	0.493384	
0.457 	0.494442	
0.458 	0.495501	
0.459 	0.496559	
0.46 	0.497616	
0.461 	0.498674	
0.462 	0.499731	
0.463 	0.500789	
0.464 	0.501845	
0.465 	0.502902	
0.466 	0.503958	
0.467 	0.505015	
0.468 	0.506071	
0.469 	0.507126	
0.47 	0.508182	
0.471 	0.509237	
0.472 	0.510292	
0.473 	0.511346	
0.474 	0.512401	
0.475 	0.513455	
0.476 	0.514509	
0.477 	0.515563	
0.478 	0.516616	
0.479 	0.517669	
0.48 	0.518722	
0.481 	0.519775	
0.482 	0.520827	
0.483 	0.52188	
0.484 	0.522932	
0.485 	0.523983	
0.486 	0.525035	
0.487 	0.526086	
0.488 	0.527137	
0.489 	0.528187	
0.49 	0.529238	
0.491 	0.530288	
0.492 	0.531338	
0.493 	0.532387	
0.494 	0.533436	
0.495 	0.534485	
0.496 	0.535534	
0.497 	0.536583	
0.498 	0.537631	
0.499 	0.538679	
0.5 	0.539726	
0.501 	0.540774	
0.502 	0.541821	
0.503 	0.542868	
0.504 	0.543914	
0.505 	0.54496	
0.506 	0.546006	
0.507 	0.547052	
0.508 	0.548098	
0.509 	0.549143	
0.51 	0.550188	
0.511 	0.551232	
0.512 	0.552276	
0.513 	0.55332	
0.514 	0.554364	
0.515 	0.555407	
0.516 	0.55645	
0.517 	0.557493	
0.518 	0.558536	
0.519 	0.559578	
0.52 	0.56062	
0.521 	0.561662	
0.522 	0.562703	
0.523 	0.563744	
0.524 	0.564785	
0.525 	0.565825	
0.526 	0.566865	
0.527 	0.567905	
0.528 	0.568944	
0.529 	0.569984	
0.53 	0.571022	
0.531 	0.572061	
0.532 	0.573099	
0.533 	0.574137	
0.534 	0.575175	
0.535 	0.576212	
0.536 	0.577249	
0.537 	0.578286	
0.538 	0.579322	
0.539 	0.580358	
0.54 	0.581394	
0.541 	0.582429	
0.542 	0.583465	
0.543 	0.584499	
0.544 	0.585534	
0.545 	0.586568	
0.546 	0.587602	
0.547 	0.588635	
0.548 	0.589668	
0.549 	0.590701	
0.55 	0.591733	
0.551 	0.592766	
0.552 	0.593797	
0.553 	0.594829	
0.554 	0.59586	
0.555 	0.596891	
0.556 	0.597921	
0.557 	0.598951	
0.558 	0.599981	
0.559 	0.60101	
0.56 	0.602039	
0.561 	0.603068	
0.562 	0.604096	
0.563 	0.605124	
0.564 	0.606152	
0.565 	0.607179	
0.566 	0.608206	
0.567 	0.609233	
0.568 	0.610259	
0.569 	0.611285	
0.57 	0.612311	
0.571 	0.613336	
0.572 	0.614361	
0.573 	0.615385	
0.574 	0.616409	
0.575 	0.617433	
0.576 	0.618457	
0.577 	0.61948	
0.578 	0.620502	
0.579 	0.621524	
0.58 	0.622546	
0.581 	0.623568	
0.582 	0.624589	
0.583 	0.62561	
0.584 	0.62663	
0.585 	0.62765	
0.586 	0.62867	
0.587 	0.629689	
0.588 	0.630708	
0.589 	0.631727	
0.59 	0.632745	
0.591 	0.633763	
0.592 	0.63478	
0.593 	0.635797	
0.594 	0.636814	
0.595 	0.63783	
0.596 	0.638846	
0.597 	0.639861	
0.598 	0.640876	
0.599 	0.641891	
0.6 	0.642905	
0.601 	0.643919	
0.602 	0.644932	
0.603 	0.645946	
0.604 	0.646958	
0.605 	0.64797	
0.606 	0.648982	
0.607 	0.649994	
0.608 	0.651005	
0.609 	0.652016	
0.61 	0.653026	
0.611 	0.654036	
0.612 	0.655045	
0.613 	0.656054	
0.614 	0.657063	
0.615 	0.658071	
0.616 	0.659079	
0.617 	0.660086	
0.618 	0.661093	
0.619 	0.662099	
0.62 	0.663105	
0.621 	0.664111	
0.622 	0.665116	
0.623 	0.666121	
0.624 	0.667125	
0.625 	0.668129	
0.626 	0.669133	
0.627 	0.670136	
0.628 	0.671139	
0.629 	0.672141	
0.63 	0.673143	
0.631 	0.674144	
0.632 	0.675145	
0.633 	0.676145	
0.634 	0.677146	
0.635 	0.678145	
0.636 	0.679144	
0.637 	0.680143	
0.638 	0.681141	
0.639 	0.682139	
0.64 	0.683136	
0.641 	0.684133	
0.642 	0.68513	
0.643 	0.686126	
0.644 	0.687121	
0.645 	0.688116	
0.646 	0.689111	
0.647 	0.690105	
0.648 	0.691099	
0.649 	0.692092	
0.65 	0.693085	
0.651 	0.694077	
0.652 	0.695069	
0.653 	0.696061	
0.654 	0.697052	
0.655 	0.698042	
0.656 	0.699032	
0.657 	0.700022	
0.658 	0.701011	
0.659 	0.701999	
0.66 	0.702987	
0.661 	0.703975	
0.662 	0.704962	
0.663 	0.705949	
0.664 	0.706935	
0.665 	0.70792	
0.666 	0.708906	
0.667 	0.70989	
0.668 	0.710875	
0.669 	0.711858	
0.67 	0.712842	
0.671 	0.713824	
0.672 	0.714807	
0.673 	0.715788	
0.674 	0.71677	
0.675 	0.71775	
0.676 	0.718731	
0.677 	0.71971	
0.678 	0.72069	
0.679 	0.721668	
0.68 	0.722647	
0.681 	0.723624	
0.682 	0.724601	
0.683 	0.725578	
0.684 	0.726554	
0.685 	0.72753	
0.686 	0.728505	
0.687 	0.72948	
0.688 	0.730454	
0.689 	0.731428	
0.69 	0.732401	
0.691 	0.733373	
0.692 	0.734345	
0.693 	0.735317	
0.694 	0.736288	
0.695 	0.737258	
0.696 	0.738228	
0.697 	0.739198	
0.698 	0.740166	
0.699 	0.741135	
0.7 	0.742103	
0.701 	0.74307	
0.702 	0.744036	
0.703 	0.745003	
0.704 	0.745968	
0.705 	0.746933	
0.706 	0.747898	
0.707 	0.748862	
0.708 	0.749825	
0.709 	0.750788	
0.71 	0.75175	
0.711 	0.752712	
0.712 	0.753673	
0.713 	0.754634	
0.714 	0.755594	
0.715 	0.756554	
0.716 	0.757513	
0.717 	0.758471	
0.718 	0.759429	
0.719 	0.760386	
0.72 	0.761343	
0.721 	0.762299	
0.722 	0.763255	
0.723 	0.76421	
0.724 	0.765164	
0.725 	0.766118	
0.726 	0.767071	
0.727 	0.768024	
0.728 	0.768976	
0.729 	0.769928	
0.73 	0.770879	
0.731 	0.771829	
0.732 	0.772779	
0.733 	0.773728	
0.734 	0.774676	
0.735 	0.775624	
0.736 	0.776572	
0.737 	0.777519	
0.738 	0.778465	
0.739 	0.77941	
0.74 	0.780355	
0.741 	0.7813	
0.742 	0.782244	
0.743 	0.783187	
0.744 	0.784129	
0.745 	0.785071	
0.746 	0.786013	
0.747 	0.786954	
0.748 	0.787894	
0.749 	0.788833	
0.75 	0.789772	
0.751 	0.79071	
0.752 	0.791648	
0.753 	0.792585	
0.754 	0.793522	
0.755 	0.794457	
0.756 	0.795393	
0.757 	0.796327	
0.758 	0.797261	
0.759 	0.798194	
0.76 	0.799127	
0.761 	0.800059	
0.762 	0.80099	
0.763 	0.801921	
0.764 	0.802851	
0.765 	0.803781	
0.766 	0.804709	
0.767 	0.805637	
0.768 	0.806565	
0.769 	0.807492	
0.77 	0.808418	
0.771 	0.809344	
0.772 	0.810268	
0.773 	0.811193	
0.774 	0.812116	
0.775 	0.813039	
0.776 	0.813961	
0.777 	0.814883	
0.778 	0.815804	
0.779 	0.816724	
0.78 	0.817644	
0.781 	0.818563	
0.782 	0.819481	
0.783 	0.820399	
0.784 	0.821315	
0.785 	0.822232	
0.786 	0.823147	
0.787 	0.824062	
0.788 	0.824976	
0.789 	0.82589	
0.79 	0.826803	
0.791 	0.827715	
0.792 	0.828626	
0.793 	0.829537	
0.794 	0.830447	
0.795 	0.831356	
0.796 	0.832265	
0.797 	0.833173	
0.798 	0.83408	
0.799 	0.834987	
0.8 	0.835893	
0.801 	0.836798	
0.802 	0.837702	
0.803 	0.838606	
0.804 	0.839509	
0.805 	0.840411	
0.806 	0.841313	
0.807 	0.842214	
0.808 	0.843114	
0.809 	0.844013	
0.81 	0.844912	
0.811 	0.84581	
0.812 	0.846707	
0.813 	0.847603	
0.814 	0.848499	
0.815 	0.849394	
0.816 	0.850289	
0.817 	0.851182	
0.818 	0.852075	
0.819 	0.852967	
0.82 	0.853859	
0.821 	0.854749	
0.822 	0.855639	
0.823 	0.856528	
0.824 	0.857417	
0.825 	0.858304	
0.826 	0.859191	
0.827 	0.860077	
0.828 	0.860963	
0.829 	0.861847	
0.83 	0.862731	
0.831 	0.863614	
0.832 	0.864496	
0.833 	0.865378	
0.834 	0.866259	
0.835 	0.867139	
0.836 	0.868018	
0.837 	0.868896	
0.838 	0.869774	
0.839 	0.870651	
0.84 	0.871527	
0.841 	0.872403	
0.842 	0.873277	
0.843 	0.874151	
0.844 	0.875024	
0.845 	0.875896	
0.846 	0.876767	
0.847 	0.877638	
0.848 	0.878508	
0.849 	0.879377	
0.85 	0.880245	
0.851 	0.881113	
0.852 	0.881979	
0.853 	0.882845	
0.854 	0.88371	
0.855 	0.884574	
0.856 	0.885438	
0.857 	0.8863	
0.858 	0.887162	
0.859 	0.888023	
0.86 	0.888883	
0.861 	0.889742	
0.862 	0.890601	
0.863 	0.891459	
0.864 	0.892315	
0.865 	0.893171	
0.866 	0.894027	
0.867 	0.894881	
0.868 	0.895734	
0.869 	0.896587	
0.87 	0.897439	
0.871 	0.89829	
0.872 	0.89914	
0.873 	0.899989	
0.874 	0.900838	
0.875 	0.901685	
0.876 	0.902532	
0.877 	0.903378	
0.878 	0.904223	
0.879 	0.905067	
0.88 	0.905911	
0.881 	0.906753	
0.882 	0.907595	
0.883 	0.908435	
0.884 	0.909275	
0.885 	0.910114	
0.886 	0.910952	
0.887 	0.91179	
0.888 	0.912626	
0.889 	0.913461	
0.89 	0.914296	
0.891 	0.91513	
0.892 	0.915963	
0.893 	0.916795	
0.894 	0.917626	
0.895 	0.918456	
0.896 	0.919285	
0.897 	0.920114	
0.898 	0.920941	
0.899 	0.921768	
0.9 	0.922593	
0.901 	0.923418	
0.902 	0.924242	
0.903 	0.925065	
0.904 	0.925887	
0.905 	0.926708	
0.906 	0.927528	
0.907 	0.928348	
0.908 	0.929166	
0.909 	0.929984	
0.91 	0.9308	
0.911 	0.931616	
0.912 	0.932431	
0.913 	0.933244	
0.914 	0.934057	
0.915 	0.934869	
0.916 	0.93568	
0.917 	0.93649	
0.918 	0.937299	
0.919 	0.938107	
0.92 	0.938915	
0.921 	0.939721	
0.922 	0.940526	
0.923 	0.94133	
0.924 	0.942134	
0.925 	0.942936	
0.926 	0.943738	
0.927 	0.944538	
0.928 	0.945338	
0.929 	0.946137	
0.93 	0.946934	
0.931 	0.947731	
0.932 	0.948527	
0.933 	0.949321	
0.934 	0.950115	
0.935 	0.950908	
0.936 	0.9517	
0.937 	0.95249	
0.938 	0.95328	
0.939 	0.954069	
0.94 	0.954857	
0.941 	0.955644	
0.942 	0.95643	
0.943 	0.957214	
0.944 	0.957998	
0.945 	0.958781	
0.946 	0.959563	
0.947 	0.960344	
0.948 	0.961124	
0.949 	0.961903	
0.95 	0.96268	
0.951 	0.963457	
0.952 	0.964233	
0.953 	0.965008	
0.954 	0.965782	
0.955 	0.966554	
0.956 	0.967326	
0.957 	0.968097	
0.958 	0.968866	
0.959 	0.969635	
0.96 	0.970403	
0.961 	0.971169	
0.962 	0.971935	
0.963 	0.972699	
0.964 	0.973462	
0.965 	0.974225	
0.966 	0.974986	
0.967 	0.975746	
0.968 	0.976506	
0.969 	0.977264	
0.97 	0.978021	
0.971 	0.978777	
0.972 	0.979532	
0.973 	0.980286	
0.974 	0.981039	
0.975 	0.98179	
0.976 	0.982541	
0.977 	0.983291	
0.978 	0.984039	
0.979 	0.984787	
0.98 	0.985533	
0.981 	0.986278	
0.982 	0.987022	
0.983 	0.987766	
0.984 	0.988508	
0.985 	0.989248	
0.986 	0.989988	
0.987 	0.990727	
0.988 	0.991465	
0.989 	0.992201	
0.99 	0.992937	
0.991 	0.993671	
0.992 	0.994404	
0.993 	0.995136	
0.994 	0.995867	
0.995 	0.996597	
0.996 	0.997326	
0.997 	0.998053	
0.998 	0.99878	
0.999 	0.999505	
