0  	0
0.005  	0.00482619
0.01  	0.00930955
0.015  	0.0134571
0.02  	0.0172756
0.025  	0.0207719
0.03  	0.0239524
0.035  	0.0268237
0.04  	0.0293919
0.045  	0.0316631
0.05  	0.0336435
0.055  	0.0353388
0.06  	0.0367548
0.065  	0.037897
0.07  	0.038771
0.075  	0.0393821
0.08  	0.0397356
0.085  	0.0398365
0.09  	0.03969
0.095  	0.0393008
0.1  	0.0386738
0.105  	0.0378136
0.11  	0.0367249
0.115  	0.0354121
0.12  	0.0338797
0.125  	0.0321318
0.13  	0.0301727
0.135  	0.0280065
0.14  	0.0256371
0.145  	0.0230686
0.15  	0.0203047
0.155  	0.0173492
0.16  	0.0142057
0.165  	0.0108779
0.17  	0.00736917
0.175  	0.00368304
0.18  	-0.000177172
0.185  	-0.00420818
0.19  	-0.00840678
0.195  	-0.0127698
0.2  	-0.0172943
0.205  	-0.0219771
0.21  	-0.0268154
0.215  	-0.0318063
0.22  	-0.0369469
0.225  	-0.0422346
0.23  	-0.0476666
0.235  	-0.0532403
0.24  	-0.0589532
0.245  	-0.0648027
0.25  	-0.0707864
0.255  	-0.0769018
0.26  	-0.0831466
0.265  	-0.0895186
0.27  	-0.0960154
0.275  	-0.102635
0.28  	-0.109375
0.285  	-0.116233
0.29  	-0.123208
0.295  	-0.130297
0.3  	-0.137498
0.305  	-0.14481
0.31  	-0.15223
0.315  	-0.159757
0.32  	-0.167388
0.325  	-0.175123
0.33  	-0.182959
0.335  	-0.190895
0.34  	-0.198928
0.345  	-0.207058
0.35  	-0.215283
0.355  	-0.223601
0.36  	-0.232011
0.365  	-0.240511
0.37  	-0.249099
0.375  	-0.257775
0.38  	-0.266536
0.385  	-0.275383
0.39  	-0.284312
0.395  	-0.293323
0.4  	-0.302415
0.405  	-0.311586
0.41  	-0.320835
0.415  	-0.330161
0.42  	-0.339562
0.425  	-0.349038
0.43  	-0.358588
0.435  	-0.368209
0.44  	-0.377902
0.445  	-0.387665
0.45  	-0.397497
0.455  	-0.407397
0.46  	-0.417364
0.465  	-0.427396
0.47  	-0.437494
0.475  	-0.447656
0.48  	-0.457882
0.485  	-0.468169
0.49  	-0.478518
0.495  	-0.488927
0.5  	-0.499396
0.505  	-0.509923
0.51  	-0.520509
0.515  	-0.531151
0.52  	-0.54185
0.525  	-0.552605
0.53  	-0.563414
0.535  	-0.574277
0.54  	-0.585193
0.545  	-0.596162
0.55  	-0.607183
0.555  	-0.618255
0.56  	-0.629377
0.565  	-0.64055
0.57  	-0.651771
0.575  	-0.66304
0.58  	-0.674358
0.585  	-0.685722
0.59  	-0.697133
0.595  	-0.70859
0.6  	-0.720092
0.605  	-0.731639
0.61  	-0.74323
0.615  	-0.754865
0.62  	-0.766542
0.625  	-0.778262
0.63  	-0.790024
0.635  	-0.801828
0.64  	-0.813672
0.645  	-0.825556
0.65  	-0.83748
0.655  	-0.849444
0.66  	-0.861446
0.665  	-0.873486
0.67  	-0.885564
0.675  	-0.89768
0.68  	-0.909832
0.685  	-0.922021
0.69  	-0.934246
0.695  	-0.946506
0.7  	-0.958801
0.705  	-0.97113
0.71  	-0.983494
0.715  	-0.995891
0.72  	-1.00832
0.725  	-1.02079
0.73  	-1.03328
0.735  	-1.04581
0.74  	-1.05837
0.745  	-1.07096
0.75  	-1.08358
0.755  	-1.09623
0.76  	-1.10891
0.765  	-1.12162
0.77  	-1.13436
0.775  	-1.14713
0.78  	-1.15993
0.785  	-1.17276
0.79  	-1.18561
0.795  	-1.19849
0.8  	-1.2114
0.805  	-1.22433
0.81  	-1.23729
0.815  	-1.25028
0.82  	-1.26329
0.825  	-1.27633
0.83  	-1.28939
0.835  	-1.30247
0.84  	-1.31558
0.845  	-1.32872
0.85  	-1.34187
0.855  	-1.35505
0.86  	-1.36826
0.865  	-1.38148
0.87  	-1.39473
0.875  	-1.408
0.88  	-1.42129
0.885  	-1.4346
0.89  	-1.44793
0.895  	-1.46128
0.9  	-1.47465
0.905  	-1.48804
0.91  	-1.50145
0.915  	-1.51488
0.92  	-1.52833
0.925  	-1.5418
0.93  	-1.55528
0.935  	-1.56879
0.94  	-1.58231
0.945  	-1.59584
0.95  	-1.6094
0.955  	-1.62297
0.96  	-1.63655
0.965  	-1.65015
0.97  	-1.66377
0.975  	-1.6774
0.98  	-1.69105
0.985  	-1.70471
0.99  	-1.71839
0.995  	-1.73208
1  	-1.74578
